# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 330K of event 'LLC-loads'
# Event count (approx.): 233442599
#
# Overhead  Command      Shared Object       Symbol                                        
# ........  ...........  ..................  ..............................................
#
     0.02%  no_prefetch  [kernel.kallsyms]   [k] irq_enter
     0.02%  no_prefetch  [kernel.kallsyms]   [k] rb_next
     0.02%  no_prefetch  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __softirqentry_text_start
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __calc_delta
     0.01%  no_prefetch  [kernel.kallsyms]   [k] perf_event_init_task
     0.01%  no_prefetch  [kernel.kallsyms]   [k] inherit_event.isra.0
     0.01%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.01%  no_prefetch  [kernel.kallsyms]   [k] read_tsc
     0.01%  no_prefetch  [kernel.kallsyms]   [k] scheduler_tick
     0.01%  no_prefetch  [kernel.kallsyms]   [k] tick_sched_do_timer
     0.01%  no_prefetch  [kernel.kallsyms]   [k] trigger_load_balance
     0.01%  no_prefetch  [kernel.kallsyms]   [k] ksoftirqd_running
     0.01%  no_prefetch  [kernel.kallsyms]   [k] update_rq_clock
     0.01%  no_prefetch  [kernel.kallsyms]   [k] free_pcppages_bulk
     0.01%  no_prefetch  [kernel.kallsyms]   [k] update_min_vruntime
     0.01%  no_prefetch  [kernel.kallsyms]   [k] rcu_segcblist_ready_cbs
     0.01%  no_prefetch  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.01%  no_prefetch  [kernel.kallsyms]   [k] find_next_bit
     0.01%  no_prefetch  [kernel.kallsyms]   [k] page_remove_rmap
     0.01%  no_prefetch  [kernel.kallsyms]   [k] page_counter_try_charge
     0.01%  no_prefetch  [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.01%  no_prefetch  [kernel.kallsyms]   [k] kmem_cache_alloc_trace
     0.01%  no_prefetch  [kernel.kallsyms]   [k] run_local_timers
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __acct_update_integrals
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __srcu_read_lock
     0.01%  no_prefetch  [kernel.kallsyms]   [k] calc_global_load_tick
     0.01%  no_prefetch  [kernel.kallsyms]   [k] run_posix_cpu_timers
     0.01%  no_prefetch  [kernel.kallsyms]   [k] x86_reserve_hardware
     0.00%  no_prefetch  [kernel.kallsyms]   [k] raise_softirq
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_program_event
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __lock_text_start
     0.00%  no_prefetch  [kernel.kallsyms]   [k] irq_work_tick
     0.00%  no_prefetch  [kernel.kallsyms]   [k] inherit_task_group.isra.0.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] irq_work_run_list
     0.00%  no_prefetch  [kernel.kallsyms]   [k] smp_apic_timer_interrupt
     0.00%  no_prefetch  [kernel.kallsyms]   [k] clockevents_program_event
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_write_msr
     0.00%  no_prefetch  [kernel.kallsyms]   [k] llist_add_batch
     0.00%  no_prefetch  [kernel.kallsyms]   [k] load_balance
     0.00%  no_prefetch  [kernel.kallsyms]   [k] cpumask_next
     0.00%  no_prefetch  [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.00%  no_prefetch  [kernel.kallsyms]   [k] ktime_get
     0.00%  no_prefetch  [kernel.kallsyms]   [k] clear_page_erms
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __handle_mm_fault
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __intel_pmu_disable_all
     0.00%  no_prefetch  [kernel.kallsyms]   [k] mutex_lock
     0.00%  no_prefetch  ld-2.31.so          [.] _dl_lookup_symbol_x
     0.00%  no_prefetch  [kernel.kallsyms]   [k] timerqueue_del
     0.00%  no_prefetch  [kernel.kallsyms]   [k] nohz_balance_exit_idle
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __accumulate_pelt_segments
     0.00%  no_prefetch  [kernel.kallsyms]   [k] unmapped_area_topdown
     0.00%  no_prefetch  [kernel.kallsyms]   [k] memcg_kmem_get_cache
     0.00%  no_prefetch  libgcc_s.so.1       [.] _Unwind_Backtrace
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __d_lookup_rcu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] flush_tlb_func_common.constprop.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rebalance_domains
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_sched_timer
     0.00%  no_prefetch  [kernel.kallsyms]   [k] zap_pte_range.isra.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __run_timers.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_process_times
     0.00%  no_prefetch  [kernel.kallsyms]   [k] vma_interval_tree_remove
     0.00%  no_prefetch  [kernel.kallsyms]   [k] invoke_rcu_core
     0.00%  no_prefetch  [kernel.kallsyms]   [k] find_next_and_bit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_trylock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __remove_hrtimer
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_sd_lb_stats
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_all_qs
     0.00%  no_prefetch  [kernel.kallsyms]   [k] llist_reverse_order
     0.00%  no_prefetch  [kernel.kallsyms]   [k] _cond_resched
     0.00%  no_prefetch  [kernel.kallsyms]   [k] alloc_pages_vma
     0.00%  no_prefetch  [kernel.kallsyms]   [k] do_user_addr_fault
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __bitmap_and
     0.00%  no_prefetch  [kernel.kallsyms]   [k] try_charge
     0.00%  no_prefetch  [kernel.kallsyms]   [k] profile_tick
     0.00%  no_prefetch  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.00%  no_prefetch  [kernel.kallsyms]   [k] mem_cgroup_try_charge
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __default_send_IPI_dest_field
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_irq_exit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] should_failslab
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __perf_addr_filters_adjust
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __mod_memcg_state
     0.00%  no_prefetch  [kernel.kallsyms]   [k] vmacache_find
     0.00%  no_prefetch  [kernel.kallsyms]   [k] down_read_trylock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] xas_load
     0.00%  no_prefetch  [kernel.kallsyms]   [k] timekeeping_advance
     0.00%  no_prefetch  [kernel.kallsyms]   [k] PageHuge
     0.00%  no_prefetch  [kernel.kallsyms]   [k] available_idle_cpu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] acct_account_cputime
     0.00%  no_prefetch  [kernel.kallsyms]   [k] memset_erms
     0.00%  no_prefetch  [kernel.kallsyms]   [k] copy_process
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tlb_is_not_lazy
     0.00%  no_prefetch  libc-2.31.so        [.] mbsnrtowcs
     0.00%  no_prefetch  [kernel.kallsyms]   [k] memcpy_erms
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rb_erase
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __get_vm_area_node
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __perf_event_header_size.isra.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] smp_call_function_many
     0.00%  no_prefetch  [kernel.kallsyms]   [k] vmap_page_range_noflush
     0.00%  no_prefetch  [kernel.kallsyms]   [k] call_function_interrupt
     0.00%  no_prefetch  [kernel.kallsyms]   [k] kmem_cache_free
     0.00%  perf         [kernel.kallsyms]   [k] perf_iterate_ctx
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __mod_zone_page_state
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_rt_rq_load_avg
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __mod_node_page_state
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_sched_handle
     0.00%  no_prefetch  [kernel.kallsyms]   [k] switch_fpu_return
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __radix_tree_lookup
     0.00%  no_prefetch  [kernel.kallsyms]   [k] mem_cgroup_from_task
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_qs
     0.00%  no_prefetch  [kernel.kallsyms]   [k] flush_tlb_func_remote
     0.00%  no_prefetch  [kernel.kallsyms]   [k] note_gp_changes
     0.00%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_forward
     0.00%  no_prefetch  [kernel.kallsyms]   [k] gup_pud_range.isra.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_blocked_averages
     0.00%  no_prefetch  libpthread-2.31.so  [.] start_thread
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_apic_mem_write
     0.00%  no_prefetch  [kernel.kallsyms]   [k] taskstats_exit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] reweight_entity
     0.00%  perf         [kernel.kallsyms]   [k] perf_event_addr_filters_exec
     0.00%  no_prefetch  [kernel.kallsyms]   [k] page_counter_cancel
     0.00%  no_prefetch  libc-2.31.so        [.] __vfscanf_internal
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __msecs_to_jiffies
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __count_memcg_events
     0.00%  no_prefetch  [kernel.kallsyms]   [k] sync_regs
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_sched_clock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] try_to_wake_up
     0.00%  no_prefetch  [kernel.kallsyms]   [k] up_read
     0.00%  no_prefetch  libc-2.31.so        [.] _res_hconf_trim_domains
     0.00%  no_prefetch  [kernel.kallsyms]   [k] lru_add_drain_cpu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_flush_tlb
     0.00%  no_prefetch  [kernel.kallsyms]   [k] futex_wake
     0.00%  no_prefetch  [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_fast_timekeeper
     0.00%  no_prefetch  [kernel.kallsyms]   [k] find_vma
     0.00%  no_prefetch  [kernel.kallsyms]   [k] finish_task_switch
     0.00%  no_prefetch  [kernel.kallsyms]   [k] unmap_page_range
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_flush_tlb_one_user
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_core
     0.00%  no_prefetch  [kernel.kallsyms]   [k] free_unref_page_prepare.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] should_numa_migrate_memory
     0.00%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_run_queues
     0.00%  no_prefetch  [kernel.kallsyms]   [k] blk_start_plug
     0.00%  no_prefetch  [kernel.kallsyms]   [k] do_numa_page
     0.00%  no_prefetch  [kernel.kallsyms]   [k] idle_cpu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_iret
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __cgroup_account_cputime
     0.00%  no_prefetch  [kernel.kallsyms]   [k] kick_ilb
     0.00%  no_prefetch  [kernel.kallsyms]   [k] sched_clock_tick
     0.00%  no_prefetch  [kernel.kallsyms]   [k] userfaultfd_remove
     0.00%  no_prefetch  [kernel.kallsyms]   [k] enqueue_hrtimer
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __delayacct_add_tsk
     0.00%  no_prefetch  [kernel.kallsyms]   [k] x86_pmu_disable
     0.00%  no_prefetch  [kernel.kallsyms]   [k] mark_page_accessed
     0.00%  no_prefetch  libc-2.31.so        [.] handle_intel.constprop.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] timerqueue_add
     0.00%  no_prefetch  [kernel.kallsyms]   [k] account_process_tick
     0.00%  no_prefetch  [kernel.kallsyms]   [k] run_timer_softirq
     0.00%  no_prefetch  libc-2.31.so        [.] ____wcstod_l_internal
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tlb_gather_mmu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] irq_work_interrupt
     0.00%  no_prefetch  libgcc_s.so.1       [.] _Unwind_ForcedUnwind
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_dl_rq_load_avg
     0.00%  no_prefetch  libpthread-2.31.so  [.] __free_tcb
     0.00%  no_prefetch  [kernel.kallsyms]   [k] handle_mm_fault
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __free_pages_ok
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __x64_sys_set_robust_list
     0.00%  no_prefetch  [kernel.kallsyms]   [k] idr_find
     0.00%  no_prefetch  ld-2.31.so          [.] _dl_setup_hash
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __memcg_kmem_uncharge
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __perf_event_task_sched_in
     0.00%  no_prefetch  [kernel.kallsyms]   [k] pgd_free
     0.00%  no_prefetch  [kernel.kallsyms]   [k] recalc_sigpending
     0.00%  no_prefetch  libc-2.31.so        [.] __mpn_mod_1
     0.00%  no_prefetch  [kernel.kallsyms]   [k] futex_wait_queue_me
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __mmdrop
     0.00%  no_prefetch  [kernel.kallsyms]   [k] recalc_sigpending_tsk
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __free_pages
     0.00%  no_prefetch  [kernel.kallsyms]   [k] schedule_tail
     0.00%  no_prefetch  [kernel.kallsyms]   [k] calculate_sigpending
     0.00%  no_prefetch  [kernel.kallsyms]   [k] syscall_return_slowpath
     0.00%  no_prefetch  [kernel.kallsyms]   [k] schedule
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __schedule


# Samples: 322K of event 'LLC-load-misses'
# Event count (approx.): 105319124
#
# Overhead  Command      Shared Object       Symbol                                        
# ........  ...........  ..................  ..............................................
#
    93.49%  no_prefetch  no_prefetch         [.] gcnforward
     5.00%  no_prefetch  [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     0.18%  no_prefetch  [kernel.kallsyms]   [k] update_curr
     0.18%  no_prefetch  [kernel.kallsyms]   [k] page_fault
     0.09%  no_prefetch  [kernel.kallsyms]   [k] rmqueue
     0.08%  no_prefetch  [kernel.kallsyms]   [k] perf_event_task_tick
     0.06%  no_prefetch  [kernel.kallsyms]   [k] account_user_time
     0.06%  no_prefetch  [kernel.kallsyms]   [k] cpuacct_account_field
     0.05%  no_prefetch  [kernel.kallsyms]   [k] __update_load_avg_cfs_rq
     0.05%  no_prefetch  [kernel.kallsyms]   [k] free_pages_and_swap_cache
     0.05%  no_prefetch  [kernel.kallsyms]   [k] find_get_entry
     0.04%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_interrupt
     0.03%  no_prefetch  [kernel.kallsyms]   [k] update_load_avg
     0.03%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_lock
     0.03%  no_prefetch  [kernel.kallsyms]   [k] cpuacct_charge
     0.03%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_active
     0.03%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_lock_irqsave
     0.03%  no_prefetch  [kernel.kallsyms]   [k] rcu_sched_clock_irq
     0.03%  no_prefetch  [kernel.kallsyms]   [k] __update_load_avg_se
     0.02%  no_prefetch  [kernel.kallsyms]   [k] __cgroup_account_cputime_field
     0.02%  no_prefetch  [kernel.kallsyms]   [k] interrupt_entry
     0.02%  no_prefetch  [kernel.kallsyms]   [k] ktime_get_update_offsets_now
     0.02%  no_prefetch  [kernel.kallsyms]   [k] __hrtimer_run_queues
     0.02%  no_prefetch  [kernel.kallsyms]   [k] __calc_delta
     0.02%  no_prefetch  [kernel.kallsyms]   [k] scheduler_tick
     0.02%  no_prefetch  [kernel.kallsyms]   [k] __softirqentry_text_start
     0.02%  no_prefetch  [kernel.kallsyms]   [k] task_tick_fair
     0.02%  no_prefetch  [kernel.kallsyms]   [k] rb_next
     0.02%  no_prefetch  [kernel.kallsyms]   [k] update_min_vruntime
     0.01%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_lock_irq
     0.01%  no_prefetch  [kernel.kallsyms]   [k] irq_enter
     0.01%  no_prefetch  [kernel.kallsyms]   [k] page_remove_rmap
     0.01%  no_prefetch  [kernel.kallsyms]   [k] rcu_segcblist_ready_cbs
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __acct_update_integrals
     0.01%  no_prefetch  [kernel.kallsyms]   [k] trigger_load_balance
     0.01%  no_prefetch  [kernel.kallsyms]   [k] free_pcppages_bulk
     0.01%  no_prefetch  [kernel.kallsyms]   [k] clockevents_program_event
     0.01%  no_prefetch  [kernel.kallsyms]   [k] run_local_timers
     0.01%  no_prefetch  [kernel.kallsyms]   [k] tick_sched_do_timer
     0.01%  no_prefetch  [kernel.kallsyms]   [k] apic_timer_interrupt
     0.01%  no_prefetch  [kernel.kallsyms]   [k] swapgs_restore_regs_and_return_to_usermode
     0.01%  no_prefetch  [kernel.kallsyms]   [k] fpregs_assert_state_consistent
     0.01%  no_prefetch  [kernel.kallsyms]   [k] irq_work_tick
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __intel_pmu_disable_all
     0.01%  no_prefetch  [kernel.kallsyms]   [k] irq_work_run_list
     0.01%  no_prefetch  [kernel.kallsyms]   [k] run_posix_cpu_timers
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __remove_hrtimer
     0.01%  no_prefetch  [kernel.kallsyms]   [k] __lock_text_start
     0.00%  no_prefetch  [kernel.kallsyms]   [k] perf_iterate_ctx
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __mod_zone_page_state
     0.00%  no_prefetch  [kernel.kallsyms]   [k] calc_global_load_tick
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_sd_lb_stats
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_program_event
     0.00%  no_prefetch  [kernel.kallsyms]   [k] timerqueue_del
     0.00%  no_prefetch  [kernel.kallsyms]   [k] ksoftirqd_running
     0.00%  no_prefetch  [kernel.kallsyms]   [k] smp_apic_timer_interrupt
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_write_msr
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __x86_indirect_thunk_rax
     0.00%  no_prefetch  [kernel.kallsyms]   [k] ktime_get
     0.00%  no_prefetch  [kernel.kallsyms]   [k] zap_pte_range.isra.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_rq_clock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] cgroup_rstat_updated
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __run_timers.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rb_erase
     0.00%  no_prefetch  [kernel.kallsyms]   [k] load_balance
     0.00%  no_prefetch  libgcc_s.so.1       [.] _Unwind_Backtrace
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_sched_handle
     0.00%  no_prefetch  [kernel.kallsyms]   [k] x86_pmu_disable
     0.00%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_forward
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_vsyscall
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_sched_clock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_sched_timer
     0.00%  no_prefetch  [kernel.kallsyms]   [k] sched_clock_cpu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rebalance_domains
     0.00%  no_prefetch  [kernel.kallsyms]   [k] file_free_rcu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] xas_load
     0.00%  no_prefetch  [kernel.kallsyms]   [k] available_idle_cpu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __srcu_read_lock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] invoke_rcu_core
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_process_times
     0.00%  no_prefetch  [kernel.kallsyms]   [k] profile_tick
     0.00%  no_prefetch  libc-2.31.so        [.] __strcasecmp_l_sse42
     0.00%  no_prefetch  [kernel.kallsyms]   [k] smp_call_function_many
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_irq_exit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_rt_rq_load_avg
     0.00%  no_prefetch  [kernel.kallsyms]   [k] note_gp_changes
     0.00%  no_prefetch  [kernel.kallsyms]   [k] raise_softirq
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __d_lookup_rcu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __cgroup_account_cputime
     0.00%  no_prefetch  [kernel.kallsyms]   [k] timekeeping_advance
     0.00%  no_prefetch  libpthread-2.31.so  [.] __pthread_mutex_lock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] find_next_and_bit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] acct_account_cputime
     0.00%  no_prefetch  [kernel.kallsyms]   [k] find_vma
     0.00%  no_prefetch  [kernel.kallsyms]   [k] llist_add_batch
     0.00%  no_prefetch  [kernel.kallsyms]   [k] lru_add_drain_cpu
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_qs
     0.00%  no_prefetch  [kernel.kallsyms]   [k] intel_pmu_disable_all
     0.00%  no_prefetch  [kernel.kallsyms]   [k] _raw_spin_trylock
     0.00%  no_prefetch  [kernel.kallsyms]   [k] pids_can_fork
     0.00%  no_prefetch  [kernel.kallsyms]   [k] do_exit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] handle_mm_fault
     0.00%  no_prefetch  [kernel.kallsyms]   [k] account_process_tick
     0.00%  no_prefetch  [kernel.kallsyms]   [k] read_tsc
     0.00%  no_prefetch  [kernel.kallsyms]   [k] fsnotify
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_fast_timekeeper
     0.00%  no_prefetch  [kernel.kallsyms]   [k] copy_page
     0.00%  no_prefetch  libpthread-2.31.so  [.] start_thread
     0.00%  no_prefetch  [kernel.kallsyms]   [k] psi_task_change
     0.00%  no_prefetch  [kernel.kallsyms]   [k] prepare_exit_to_usermode
     0.00%  no_prefetch  [kernel.kallsyms]   [k] rcu_core
     0.00%  no_prefetch  [kernel.kallsyms]   [k] cpumask_next
     0.00%  no_prefetch  [kernel.kallsyms]   [k] select_idle_sibling.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] timerqueue_add
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __perf_event_task_sched_out
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_iret
     0.00%  no_prefetch  libgcc_s.so.1       [.] _Unwind_GetTextRelBase
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __bitmap_and
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __default_send_IPI_dest_field
     0.00%  no_prefetch  [kernel.kallsyms]   [k] nohz_balance_exit_idle
     0.00%  no_prefetch  [kernel.kallsyms]   [k] task_numa_work
     0.00%  no_prefetch  libc-2.31.so        [.] __vfscanf_internal
     0.00%  no_prefetch  [kernel.kallsyms]   [k] hrtimer_update_next_event
     0.00%  no_prefetch  [kernel.kallsyms]   [k] mark_page_accessed
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __delayacct_add_tsk
     0.00%  no_prefetch  [kernel.kallsyms]   [k] activate_task
     0.00%  no_prefetch  [kernel.kallsyms]   [k] mem_cgroup_from_task
     0.00%  no_prefetch  [kernel.kallsyms]   [k] futex_wake
     0.00%  no_prefetch  [kernel.kallsyms]   [k] get_task_policy.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] enqueue_hrtimer
     0.00%  no_prefetch  [kernel.kallsyms]   [k] native_apic_mem_write
     0.00%  no_prefetch  [kernel.kallsyms]   [k] switch_fpu_return
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __do_sys_madvise
     0.00%  no_prefetch  [kernel.kallsyms]   [k] anon_vma_clone
     0.00%  no_prefetch  [kernel.kallsyms]   [k] update_cfs_group
     0.00%  no_prefetch  [kernel.kallsyms]   [k] irq_exit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] tick_do_update_jiffies64.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] find_next_bit
     0.00%  no_prefetch  [kernel.kallsyms]   [k] try_to_wake_up
     0.00%  no_prefetch  [kernel.kallsyms]   [k] zap_page_range
     0.00%  no_prefetch  [kernel.kallsyms]   [k] perf_pmu_disable.part.0
     0.00%  no_prefetch  [kernel.kallsyms]   [k] find_idlest_cpu
     0.00%  no_prefetch  libpthread-2.31.so  [.] __free_tcb
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __hrtimer_get_next_event
     0.00%  no_prefetch  [kernel.kallsyms]   [k] sync_regs
     0.00%  no_prefetch  [kernel.kallsyms]   [k] migrate_task_rq_fair
     0.00%  no_prefetch  [kernel.kallsyms]   [k] __wake_up_common_lock
     0.00%  no_prefetch  ld-2.31.so          [.] __GI___tunables_init
     0.00%  no_prefetch  [kernel.kallsyms]   [k] alloc_vmap_area
